employee,department,role_level,delivery_impact,performance_grade,contribution_rate
E0,Core,3,5,2,7
E1,Core,1,1,3,9
E2,Core,3,5,4,8
E3,Core,1,1,4,6
E4,Core,2,4,2,9
E5,Core,2,4,3,8
E6,Core,2,4,3,4
E7,Core,2,4,4,3
E8,Core,3,5,2,7
E9,Core,3,5,4,5
E10,Core,4,7,3,9
E11,Core,3,5,4,4
E12,Core,2,4,3,3
E13,Core,1,1,4,7
E14,Core,3,5,3,9
E15,Core,1,1,4,5
E16,Core,2,4,4,4
E17,Core,1,1,4,6
E18,Core,1,1,3,7
E19,Core,2,4,2,8
E20,Core,3,5,2,5
E21,Core,3,5,3,8
E22,Core,2,4,4,5
E23,Core,2,4,3,3
E24,Core,1,1,4,3
E25,Core,3,5,4,7
E26,Core,3,5,2,8
E27,Core,2,4,3,6
E28,Core,1,1,2,3
E29,Core,2,4,3,6
E30,Core,2,4,2,8
E31,Core,2,4,3,6
E32,Core,2,4,4,5
E33,Core,1,1,3,6
E34,SaaS,3,4,2,4
E35,SaaS,1,2,4,4
E36,SaaS,1,2,3,7
E37,SaaS,2,2,3,8
E38,SaaS,2,2,3,5
E39,SaaS,3,4,2,4
E40,SaaS,1,2,2,3
E41,SaaS,3,4,4,6
E42,SaaS,1,2,4,6
E43,SaaS,1,2,3,7
E44,SaaS,2,2,2,5
E45,SaaS,1,2,4,7
E46,SaaS,2,2,4,3
E47,SaaS,1,2,3,9
E48,SaaS,4,7,3,7
E49,SaaS,1,2,4,9
E50,SaaS,3,4,2,8
E51,SaaS,2,2,4,4
E52,SaaS,1,2,3,9
E53,SaaS,2,2,4,4
E54,SaaS,1,2,4,7
E55,SaaS,1,2,3,8
E56,SaaS,3,4,3,8
E57,SaaS,2,2,2,7
E58,SaaS,2,2,2,7
E59,SaaS,1,2,4,5
E60,SaaS,1,2,2,6
E61,SaaS,1,2,3,4
E62,SaaS,1,2,2,7
E63,SaaS,1,2,2,9
E64,SaaS,2,2,3,5
E65,SaaS,2,2,2,3
E66,SaaS,4,7,3,6
E67,AI Products,2,4,4,6
E68,AI Products,4,6,2,7
E69,AI Products,2,4,4,4
E70,AI Products,1,1,3,6
E71,AI Products,2,4,2,3
E72,AI Products,3,4,2,9
E73,AI Products,1,1,2,6
E74,AI Products,1,1,3,7
E75,AI Products,1,1,2,7
E76,AI Products,3,4,4,8
E77,AI Products,1,1,3,9
E78,AI Products,1,1,2,3
E79,AI Products,2,4,3,5
E80,AI Products,3,4,3,8
E81,AI Products,1,1,2,9
E82,AI Products,1,1,3,6
E83,AI Products,1,1,4,9
E84,AI Products,1,1,3,3
E85,AI Products,2,4,4,9
E86,AI Products,3,4,2,8
E87,AI Products,3,4,2,9
E88,AI Products,2,4,3,5
E89,AI Products,3,4,3,7
E90,AI Products,2,4,4,3
E91,AI Products,3,4,3,4
E92,AI Products,4,6,4,4
E93,AI Products,1,1,2,8
E94,AI Products,1,1,4,4
E95,AI Products,2,4,4,9
E96,AI Products,1,1,2,5
E97,AI Products,3,4,2,9
E98,AI Products,2,4,3,4
E99,AI Products,1,1,2,4
